kingdom,phylum,class,order,family,genus,species,scientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year,collectionCode,identifiedBy,recordedBy
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Megaphorus,Megaphorus acrus,"Megaphorus acrus (Curran, 1931)",12 mi E Catarina,Texas,28.34,-99.42,6/22/1976 0:00,22,6,1976,Entomology Collection,"Nelson, C.R.",
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,"Bombus pensylvanicus (De Geer, 1773)",12 mi E Catarina,Texas,28.34,-99.42,6/22/1976 0:00,22,6,1976,Entomology Collection,"Wild, Alex",
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Megaphorus,Megaphorus acrus,"Megaphorus acrus (Curran, 1931)",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Nelson, C.R.",
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma matutina,"Eucosma matutina Grote, 1893",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Knudson, Ed",
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma consobrinana,"Eucosma consobrinana Heinrich, 1923",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Knudson, Ed",
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma matutina,"Eucosma matutina Grote, 1893",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Knudson, Ed",
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela schauppii,"Cicindela schauppii G.Horn, 1876",Chaparral Wildlife Management Area 1,Texas,28.315,-99.446,10/12/2001 0:00,12,10,2001,Entomology Collection,"Smith, A.D.",A.W. Hook
Animalia,Arthropoda,Insecta,Diptera,Ulidiidae,Stictomyia,Stictomyia longicornis,"Stictomyia longicornis Bigot, 1885",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Wild, Alex",
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Calosoma,Calosoma macrum,"Calosoma macrum LeConte, 1853",Chaparral Wildlife Management Area,Texas,28.31,-99.43,3/12/2001 0:00,12,3,2001,Entomology Collection,"Abbott, J.C.",J.C. Abbott
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma matutina,"Eucosma matutina Grote, 1893",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Knudson, Ed",
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma consobrinana,"Eucosma consobrinana Heinrich, 1923",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Knudson, Ed",
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Phytometra,Phytometra orgiae,"Phytometra orgiae Grote, 1875",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Knudson, Ed",
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Copestylum,Copestylum tamaulipanum,"Copestylum tamaulipanum (Townsend, 1898)",12 mi E Catarina,Texas,28.34,-99.42,6/22/1976 0:00,22,6,1976,Entomology Collection,"Wild, Alex",
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Phytometra,Phytometra orgiae,"Phytometra orgiae Grote, 1875",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Knudson, Ed",
Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Mesoxaea,Mesoxaea texana,"Protoxaea texana (Friese, 1898)",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/11/2001 0:00,11,6,2001,Entomology Collection,"Neff, J.L.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Schinia,Schinia gaurae,"Schinia gaurae (J.E.Smith, 1797)",Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/17/1993 0:00,17,4,1993,Entomology Collection,"Knudson, Ed",J Gillaspy
Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Mesoxaea,Mesoxaea texana,"Protoxaea texana (Friese, 1898)",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/11/2001 0:00,11,6,2001,Entomology Collection,"Neff, J.L.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Mesoxaea,Mesoxaea texana,"Protoxaea texana (Friese, 1898)",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/11/2001 0:00,11,6,2001,Entomology Collection,"Neff, J.L.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Adonisea,Adonisea cupes,"Schinia cupes (Grote, 1875)",Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/17/1993 0:00,17,4,1993,Entomology Collection,"Knudson, Ed",J Gillaspy
Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Mesoxaea,Mesoxaea texana,"Protoxaea texana (Friese, 1898)",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/11/2001 0:00,11,6,2001,Entomology Collection,"Neff, J.L.",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Arethaea,Arethaea gracilipes,"Arethaea gracilipes (C.Thomas, 1870)","Chapparal State Wildlife Management Area, 8 Miles West of Artesia Wells",Texas,28.311389,-99.406944,5/19/1999 0:00,19,5,1999,BYUC,J. Stidham,C.R. Nelson
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pachycondyla,Pachycondyla villosa,"Neoponera villosa (Fabricius, 1804)",Chaparral Wildlife Management Area,Texas,28.326,-99.407,10/1/2019 0:00,1,10,2019,Entomology Collection,"Wild, Alex",Roxanna Shahraki
Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Sphingicampa,Sphingicampa heiligbrodti,"Syssphinx heiligbrodti (Harvey, 1877)",Chaparral Wildlife Management Area,Texas,28.326,-99.407,10/1/2019 0:00,1,10,2019,Entomology Collection,"Wild, Alex",Roxanna Shahraki
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pachycondyla,Pachycondyla villosa,"Neoponera villosa (Fabricius, 1804)",Chaparral Wildlife Management Area,Texas,28.326,-99.407,10/1/2019 0:00,1,10,2019,Entomology Collection,"Wild, Alex",Roxanna Shahraki
Animalia,Arthropoda,Insecta,Blattodea,Corydiidae,Arenivaga,,"Arenivaga Rehn, 1903",Chaparral Wildlife Management Area,Texas,28.326,-99.407,10/1/2019 0:00,1,10,2019,Entomology Collection,"Wild, Alex",Roxanna Shahraki
Animalia,Arthropoda,Insecta,Phasmida,Diapheromeridae,,,Diapheromeridae,Chaparral Wildlife Management Area,Texas,28.326,-99.407,10/2/2019 0:00,2,10,2019,Entomology Collection,"Wild, Alex",Roxanna Shahraki
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,,,Mutillidae,Chaparral Wildlife Management Area,Texas,28.326,-99.407,10/1/2019 0:00,1,10,2019,Entomology Collection,"Wild, Alex",Roxanna Shahraki
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Libytheana,Libytheana carinenta,"Libytheana carinenta Cramer, 1779",Chaparral Wildlife Management Area,Texas,28.326,-99.407,10/2/2019 0:00,2,10,2019,Entomology Collection,"Wild, Alex",Roxanna Shahraki
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,"Apis mellifera Linnaeus, 1758",Chaparral Wildlife Management Area,Texas,28.31354,-99.44682,5/18/2011 0:00,18,5,2011,Entomology Collection,"Wild, Alex",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,"Apis mellifera Linnaeus, 1758",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/11/2001 0:00,11,6,2001,Entomology Collection,"Wild, Alex",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,"Apis mellifera Linnaeus, 1758",Chaparral Wildlife Managament Area - 10.1 mi NW Artesia Wells,Texas,28.314,-99.447,6/11/2001 0:00,11,6,2001,Entomology Collection,"Wild, Alex",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,Pleotomus,Pleotomus pallens,"Pleotomus pallens LeConte, 1866",12 mi E Catarina,Texas,28.34,-99.42,7/24/1976 0:00,24,7,1976,Entomology Collection,"Riley, E.G.",
Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Excultanus,Excultanus excultus,"Excultanus excultus (Uhler, 1877)",Chaparral Wildlife Management Area,Texas,28.31354,-99.44682,5/18/2011 0:00,18,5,2011,Entomology Collection,"Wild, Alex",J.C. Abbott|Field Ent Class
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",J.C. Abbott|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",J.C. Abbott|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",J.C. Abbott|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,7/3/2001 0:00,3,7,2001,Entomology Collection,"Pitts, J",A.W. Hook
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,10/12/2001 0:00,12,10,2001,Entomology Collection,"Pitts, J",A.W. Hook
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",J.C. Abbott|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,10/12/2001 0:00,12,10,2001,Entomology Collection,"Pitts, J",A.W. Hook
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,,"Sphaeropthalma Blake, 1871",Chaparral Wildlife Management Area 1,Texas,28.315,-99.446,7/29/2005 0:00,29,7,2005,Entomology Collection,,A.W. Hook
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,10/12/2001 0:00,12,10,2001,Entomology Collection,"Pitts, J",A.W. Hook
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,7/3/2001 0:00,3,7,2001,Entomology Collection,"Pitts, J",A.W. Hook
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",A.W. Hook|J.L. Neff
Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Sphaeropthalma,Sphaeropthalma imperialis,Sphaeropthalma imperialis,Chaparral Wildlife Management Area,Texas,28.31,-99.43,4/20/2000 0:00,20,4,2000,Entomology Collection,"Pitts, J",J.C. Abbott|J.L. Neff
